flowcell	kit	preset_model	ont_model
FLO-MIN106	SQK-RBK110-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RBK111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RBK111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RLB001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LWB001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PBK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RAB201	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RAB204	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RPB004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-PTC001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-VMK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-VPS001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-VMK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-CS9109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-DCS108	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-DCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LRK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LSK108	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LSK109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LSK109-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
